"","year","asylum_granted"
"1",2020,340881
"2",2019,341715
"3",2018,313242
"4",2017,287135
"5",2016,272963
"6",2015,273198
"7",2014,267214
"8",2013,263653
"9",2012,262006
"10",2011,264752
"11",2010,264510
"12",2009,275398
"13",2008,279488
"14",2007,281169
"15",2006,843449
"16",2005,379330
"17",2004,420788
"18",2003,452536
"19",2002,485173
"20",2001,515851
"21",2000,508209
"22",1999,521134
"23",1998,533951
"24",1997,563813
"25",1996,607005
"26",1995,623279
"27",1994,631046
"28",1993,623056
"29",1992,579938
"30",1991,513885
"31",1990,464887
"32",1989,411496
"33",1988,377769
"34",1987,365726
"35",1986,398633
"36",1985,492806
"37",1984,626909
"38",1983,655532
"39",1982,620257
"40",1981,537375
"41",1980,403684
"42",1979,734000
"43",1978,734000
"44",1977,684700
"45",1976,5e+05
"46",1975,530000
"47",1974,530000
"48",1973,530000
"49",1972,530000
"50",1971,530000
"51",1970,5e+05
"52",1969,5e+05
"53",1968,498000
"54",1967,480000
"55",1966,5e+05
"56",1965,510000
"57",1964,5e+05
"58",1963,5e+05
"59",1962,5e+05
"60",1961,5e+05
"61",1960,5e+05
